"NOME","NUM","SEQ","SENTIDO","ITINERARY_ID","COD"
"Praça Rui Barbosa - 475 - Canal Belém","102019","1","Canal Belém","710","475"
"Praça Rui Barbosa - 477 - V. Macedo Via Guabirotuba","102018","1","Vila Macedo","11595","477"
"Rua Gabirobas, 148 - Uberaba","141005","1","Praça Rui Barbosa","11594","477"
"Praça Rui Barbosa - 462 - Petrópolis","102041","1","Petrópolis / Solitude - Circular","2188","489"
"Estação Tubo Praça Carlos Gomes","108065","1","Term. Boqueirão (sábado)","6922","500"
"Estação Tubo Praça Carlos Gomes","108065","1","Terminal Boqueirão","712","500"
"Terminal Boqueirão - 500 - Ligeirão Boqueirão","104302","1","Praça Carlos Gomes (Sábado)","6921","500"
"Terminal Boqueirão - 500 - Ligeirão Boqueirão","104302","1","Praça Carlos Gomes","713","500"
"Terminal Pinheirinho - 502 - Circular Sul (Horário)","105702","1","Terminal Portão","2681","502"
"Terminal Hauer - 502 - Circular Sul (Horário) - 503-Boqueirão","105502","1","Terminal Boqueirão","2683","502"
"Terminal Sítio Cercado - 502 - Circular Sul (Horário)","106101","1","Terminal Pinheirinho","1387","502"
"Terminal Sítio Cercado - 502 - Circular Sul (Horário)","106101","1","Horário Circular","5901","502"
"Terminal Boqueirão - 502 - Circular Sul (Horário)","104301","1","Terminal Sitio Cercado","2684","502"
"Terminal Portão-202-Cabral/C.Raso-203-Sta.Cândida/C.Raso-603-Pinheirinho-Circular Sul(H)","105801","1","Terminal Hauer","2682","502"
"Estação Tubo Praça Carlos Gomes","108065","1","Terminal Boqueirão","1389","503"
"Terminal Boqueirão - 503 - Boqueirão","104303","1","Praça Carlos Gomes","716","503"
"Estação Tubo Museu Oscar Niemeyer","109037","1","Terminal Boqueirão","717","505"
"Terminal Boqueirão - 505 - Boqueirão / Centro Cívico","109103","1","Centro Cívico","718","505"
"Estação Tubo Osternack","109038","1","Praça Rui Barbosa","1378","506"
"Estação Tubo Praça Rui Barbosa - 506 - Bairro Novo","109062","1","Bairro Novo","1377","506"
"Terminal Boqueirão - 507 - Sítio Cercado (Horário) / 546 - S.Cercado / Boqueirão","109102","1","Terminal Sitio Cercado","2687","507"
"Terminal Pinheirinho - 507 - Sitio Cercado (Horário)","105707","1","Terminal Guadalupe","2685","507"
"Terminal Sítio Cercado - 507 - Sítio Cercado (Horário)","109113","1","Horário","5644","507"
"Terminal Guadalupe - 507 - Sítio Cercado (Horário)","109027","1","Terminal Boqueirão","2686","507"
"Terminal Sítio Cercado - 507 - Sítio Cercado (Horário)","109113","1","Terminal Pinheirinho","1379","507"
"Terminal Sítio Cercado - 508 - Sítio Cercado (Anti-horário)","109111","1","Anti Horário","5902","508"
"Terminal Boqueirão - 508 - Sítio Cercado (Anti-Horário)","109104","1","Terminal Guadalupe","2688","508"
"Terminal Sítio Cercado - 508 - Sítio Cercado (Anti-horário)","109111","1","Terminal Boqueirão","1380","508"
"Terminal Pinheirinho - 508 - Sítio Cercado (Anti - Horário)","109098","1","Terminal Sitio Cercado","2690","508"
"Terminal Guadalupe - 508 - Sítio Cercado (Anti-Horário)","109026","1","Terminal Pinheirinho","2689","508"
"R. Pedro Ivo, 369 - Centro","108218","1","Mad. Boqueirão Sentido T. Boqueirão","11196","509"
"Rua Maestro Carlos Frank, 1352 - Boqueirão","150277","1","Mad. Boqueirão Sentido Praça Carlos Gomes","12073","509"
"Rua Gen. Teodorico Gonçalves Guimarães, 960  - Xaxim","150389","1","Terminal Hauer","1610","511"
